ID,Name,RA,DEC,Obj. Type,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery Date (UT),Sender,Remarks,Ext. catalog/s
45044,SN 2019qff,00:15:49.991,-23:57:27.37,SN Ia,0.063,,,ZTF,ZTF,ZTF,ZTF,ZTF19abyigib,P48 - ZTF-Cam,P200 - DBSP,1,1,,19.33,g-ZTF,2019-09-10 10:33:06.000,ZTF_AMPEL_COMPLETE,,
45041,SN 2019qfc,20:40:32.314,+01:49:05.45,SN Ia,0.1,,,ZTF,ZTF,ZTF,ZTF,ZTF19abxfeln,P48 - ZTF-Cam,P60 - SEDM,1,1,,19.88,r-ZTF,2019-09-06 05:35:37.000,ZTF_AMPEL_COMPLETE,,
44995,SN 2019qdj,04:24:21.363,+77:56:41.76,SN Ia,0.08,GALEXASC J042421.57+775643.5,,"ALeRCE, ATLAS","ZTF, ATLAS",ZTF,ALeRCE; ATLAS,ZTF19abyzuos,"ATLAS1 - ACAM1, P48 - ZTF-Cam",APO-3.5m - DIS,1,1,,19.7301,r-ZTF,2019-09-15 10:51:57.000,ALeRCE,,
44969,SN 2019qcj,07:14:47.169,+04:54:24.57,SN Ia,0.04,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF19abyjjxp,"ATLAS1 - ACAM1, P48 - ZTF-Cam",P60 - SEDM,1,1,,18.24,g-ZTF,2019-09-10 11:49:55.000,ZTF_Bot1,,
44956,SN 2019qbx,08:12:44.578,+44:23:19.97,SN Ia,0.096,,,"ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1",ZTF,ATLAS; Pan-STARRS1; ZTF,ZTF19abyjhpz,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,19.67,g-ZTF,2019-09-10 11:44:07.000,ZTF_AMPEL_NEW,,
44897,SN 2019pzr,02:30:59.362,+22:24:04.39,SN Ia,0.047696,,,"ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1",ZTF,ATLAS; Pan-STARRS1; ZTF,ZTF19abxtdgh,"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1",P200 - DBSP,1,1,,19.85,r-ZTF,2019-09-07 09:46:04.000,ZTF_Bot1,,
44895,SN 2019pzp,01:10:56.376,+71:26:01.53,SN Ia,0.05,,,ZTF,ZTF,ZTF,ZTF,ZTF19abxiqve,P48 - ZTF-Cam,P60 - SEDM,1,1,,20.63,g-ZTF,2019-09-01 10:37:55.000,ZTF_Bot1,,
44881,SN 2019pzb,04:11:02.969,-16:30:44.91,SN Ia,0.13,APMUKS(BJ) B040846.82-163829.5,,"ALeRCE, Pan-STARRS1","ZTF, Pan-STARRS1",ZTF,ALeRCE; Pan-STARRS1,ZTF19abymhad,"P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,19.6595,g-ZTF,2019-09-11 11:31:35.000,ALeRCE,,
44873,SN 2019pyt,17:50:35.705,+20:05:21.13,SN Ia,0.065,GALEXASC J175035.63+200517.3,,"ALeRCE, ZTF, Pan-STARRS1","ZTF, Pan-STARRS1",ZTF,ALeRCE; Pan-STARRS1; ZTF,ZTF19abyfbik,"P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,19.1734,r-ZTF,2019-09-11 04:30:24.000,ALeRCE,,
44871,SN 2019pyr,08:13:26.875,+65:27:16.28,SN Ia,0.1,,,ZTF,ZTF,ZTF,ZTF,ZTF19abyjgal,P48 - ZTF-Cam,P60 - SEDM,1,1,,19.15,g-ZTF,2019-09-10 11:40:12.000,ZTF_AMPEL_NEW,,
